Date,TicketID,User Name,UserID,AnsweredBy,Issue,Description,ResolvedBy
1-2-2025,1,,User001,Rep001,Password Reset,,
1-2-2025,2,,User002,Rep001,Password Reset,,
1-2-2025,3,,User003,Rep001,Missing Printer Driver,,
1-3-2025,4,,User004,Rep001,Missing Printer Driver,,
1-3-2025,5,,User005,Rep001,Software Install,,
1-3-2025,6,,User006,Rep001,Software Install,,
1-3-2025,7,,User007,Rep001,Software Install,,
1-3-2025,8,,User008,Rep001,Password Reset,,
1-4-2025,9,,User009,Rep002,Slow Computer,,
1-4-2025,10,,User010,Rep002,Slow Computer,,
1-4-2025,11,,User011,Rep002,Slow Computer,,
1-5-2025,12,,User012,Rep002,Password Reset,,
1-5-2025,13,,User013,Rep002,Network Issues,,
1-5-2025,14,,User014,Rep002,Network Issues,,
1-5-2025,15,,User015,Rep002,Password Reset,,
1-5-2025,16,,User016,Rep002,Password Reset,,
1-6-2025,17,,User001,Rep002,Password Reset,,
1-7-2025,18,,User002,Rep002,Network Issues,,
1-7-2025,19,,User019,Rep003,Access Request,,
1-7-2025,20,,User020,Rep003,Password Reset,,
1-7-2025,21,,User021,Rep003,Access Request,,
1-7-2025,22,,User022,Rep003,Missing Printer Driver,,
1-7-2025,23,,User023,Rep003,Password Reset,,
1-7-2025,24,,User024,Rep003,Password Reset,,
1-8-2025,25,,User025,Rep003,Missing Printer Driver,,
1-8-2025,26,,User026,Rep003,Missing Printer Driver,,
1-8-2025,27,,User027,Rep003,Software Install,,
1-8-2025,28,,User028,Rep003,Software Install,,
1-8-2025,29,,User029,Rep003,Software Install,,
1-8-2025,30,,User030,Rep003,Password Reset,,
1-9-2025,31,,User031,Rep003,Slow Computer,,
1-9-2025,32,,User032,Rep004,Slow Computer,,
1-9-2025,33,,User033,Rep004,Slow Computer,,
1-9-2025,34,,User034,Rep004,Password Reset,,
1-9-2025,35,,User035,Rep004,Network Issues,,
1-10-2025,36,,User036,Rep004,Network Issues,,
1-10-2025,37,,User037,Rep004,Password Reset,,
1-10-2025,38,,User038,Rep004,Password Reset,,
